Bio,Follower Count
b'Chairman of the House Budget Committee. Congressman representing Kentucky\xe2\x80\x99s Third Congressional District.',50884
"b""Official campaign account of Thomas Massie for Congress.\nFighting for the taxpayers of Kentucky's 4th District since 2012.\nPro-Life, Pro-2A, Pro-Constitution""",1804
b'This is the official campaign Twitter account for Hal Rogers.',163
b'Trusted by voters of #KY06 to represent them in Congress since 2013. The True Conservative for Central Kentucky.',5040
b'House GOP Whip. Congressman for Louisiana\xe2\x80\x99s 1st District. Fighting for conservative values & combatting the Dems\xe2\x80\x99 radical socialist agenda. Dad. Saints/LSU fan.',51438
"b'Husband. Father. Army Veteran. Former SWAT Operator. Congressman LA-3. Patriot. Constitutionalist. Also, @realdonaldtrump is still President. #MAGA #KAG'",2026
b'',2010
b'Baton Rouge native \xe2\x80\xa2 Proud husband & dad \xe2\x80\xa2 Congressman proudly serving #LA06 \xe2\x80\xa2 Fmr Chair of Coastal Protection & Restoration Authority',4573
b'Serving Western and Central Mass in Congress. Official campaign page.',917
"b'Fighter for #MA02 in Congress. No corporate PAC/fossil fuel $$. Together let\xe2\x80\x99s #EndHungerNow, restore decency to our democracy & invest in ALL our families.'",7566
"b'Mom, Lowell native, and Congresswoman for Massachusetts 3rd District.'",7433
"b'Congressman for the #MA04. \nMember, Transportation & Infrastructure and Financial Services Committees.'",5816
b'Congresswoman for 5th District in MA. Mom of three great kids!',12759
"b""Father, husband, Marine, Congressman. It's time for a new generation of leadership: @serve_america \xf0\x9f\x87\xba\xf0\x9f\x87\xb8""",151570
b'Your Congresswoman. Proudly representing the MA 7th. Here to break concrete ceilings & shake the table. Personal account. She/hers. #ChangeCantWait',1085540
b'This is the official campaign account for Congressman Stephen F. Lynch. Tweets signed -SFL are from Stephen. #mapoli',4787
b'U.S. Congressman proudly serving #MA09. Welcome to my campaign Twitter account.',4069
"b""Andy Harris, M.D. - Congressman from Maryland's 1st District & physician, Campaign for reelection 2016""",1177
"b'Homegrown Baltimorean known as the Common Sense Congressman. Loves family, country, and crabcakes. Believes politics is the business of customer service. #MD02'",292
"b""Working hard for Maryland's 3rd Congressional District. Connect on Facebook @ https://t.co/gsRUbQ4kwc. By Authority of Friends of John Sarbanes.""",5271
"b""Congressman for Maryland's 4th Congressional District. Father, husband and former Army Aviator""",8411
"b""I represent Maryland's Fifth Congressional District and serve as the House Majority Leader in the 117th Congress. This is my official campaign page.""",17613
"b""Owner @TotalWine, Progressive Democrat, Husband, Father, Congressman for Maryland's 6th District. E-mail: david at https://t.co/JWJn4cWCsV""",8938
"b'Congressman Kweisi Mfume, Democratic candidate for the 7th Congressional District in Maryland. Mfume for Congress Committee in formation with the FEC.'",3543
b'Congressman representing #MD08. Training young progressive organizers with #DemocracySummerMD. My official House of Representatives account is @RepRaskin.',39395
"b""Mother, grandmother, organic farmer, small business owner, and Democrat running to continue representing the great people of Maine's 1st Congressional District""",422
b'Campaign Account - Congressman Representing Maine\xe2\x80\x99s 2nd District - #TeamGolden',7533
"b'Official Campaign Account for Jack Bergman \xe2\x80\xa2 Lt. General, USMC (ret) \xe2\x80\xa2 Airline Pilot \xe2\x80\xa2 Small Business Owner \xe2\x80\xa2 Grandpa \xe2\x80\xa2 Representative for #MI01 \xe2\x80\xa2'",2005
"b""As a small business owner and US Representative, I have the background and passion to confront the challenges that face Michigan's 2nd District.""",3694
"b'Running for Congress in #MI03. Past: IRQ, AFG. Personal: @pjfm IG: https://t.co/zPp4SfqB4M'",11833
"b""Running to represent Michigan's 4th District in Congress""",1138
"b'Fighting for Michigan. Focused on boosting middle class wages, lowering the cost of health care and ensuring clean drinking water for all.'",6175
"b'Official campaign account. Husband, father, and proud to represent the commonsense values of Michigan. #MI06 #TeamUpton'",2828
"b'Proven conservative leader fighting for Michigan job creation, less government spending, and more freedom.'",1522
"b'Proudly working for #MI08. Fighting for cheaper prescription drugs, clean water, better politics. National security professional. Proud Michigander.'",49281
"b'Congressman in #MI09, union organizer, clean energy entrepreneur, human rights activist, dad joke teller, hockey player.'",8605
"b""Congresswoman for Michigan's 10th District. Political Outsider. Job Creator. Businesswoman. Coming to Congress to get things done.""",3059
b'U.S Congresswoman for the incredible people of Michigan\xe2\x80\x99s 11th District.\xf0\x9f\x98\x8aPersonal account \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f She/Her. \xe2\x9d\xa4\xef\xb8\x8f',29246
"b'Democratic candidate for Congress, MI-12.'",18505
"b'Unbossed Congresswoman #Michigan13th. Detroiter, Palestinian American, Muslima. #RootedInCommunity'",1454218
"b""Campaign account for Congresswoman Brenda Lawrence, Democrat from Michigan's 14th District. Fighting for jobs, education, transportation. #TeamBrenda""",8279
"b'Congressman, Minnesota\xe2\x80\x99s First District'",3714
"b'Mother to 4 boys. Wife. Congresswoman in #MN02. Grey\xe2\x80\x99s Anatomy, country music, Lynx fan.'",20474
"b'Lifelong Minnesotan, entrepreneur, hockey and state fair enthusiast, and Congressman for #MN03. I choose optimism over fear, and everyone\xe2\x80\x99s invited!'",15415
"b""Official Twitter account for Rep. Betty McCollum's campaign - updates, news, events, and ways to get involved. RT\xe2\x89\xa0endorsements. Tweets from Betty signed -B""",1369
"b'Mom, Refugee and Congresswoman for #MN05. Progressive Caucus Whip. Fighting for a more just world. Join our grassroots funded progressive movement \xe2\x9c\xa8'",2975143
"b'Campaign account of Tom Emmer (MN-06). @NRCC Chair, working to balance the budget and rein in government spending.'",10670
b'Michelle Fischbach is the Congresswoman for western Minnesota\xe2\x80\x99s 7th District. #MN07',8832
"b'Fighting for our way of life. This is my campaign account. If you were looking for my House of Representatives account, please visit @RepPeteStauber.'",6430
"b'Congresswoman, MO-01. Nurse, activist, organizer, single mom, & pastor. Leading with radical love, fighting for regular people. #StLouisStrong (she/her)'",792464
b'Conservative Republican multi-tasker. Wife. Mother of three. Proud West Point Mom.',4957
"b'Conservative Congressman (MO-3), Husband, Father & Grandfather.'",1503
"b""Official campaign Twitter account. Common-sense, pro-life conservative seeking re-election to represent Missouri's 4th District in the U.S. House.""",792
"b""Official campaign Twitter account for #CleaverForCongress, U.S. Rep. for MO's 5th Dist. Proud Democrat. RT/shares not considered endorsements.""",1143
"b""Proudly representing Missouri's Sixth Congressional District""",14982
"b""Proud to represent Missouri's 7th Congressional District on @HouseCommerce Committee \xe2\x80\xa2 Subcommittees on \xe2\x80\xa2 Communications & Technology \xe2\x80\xa2 Health \xe2\x80\xa2 Environment \xe2\x80\xa2""",9397
"b""Honored to represent the families of Missouri's Eighth District in the United States House of Representatives. #mo8""",12369
"b'US Delegate for the Northern Mariana Islands \xf0\x9f\x87\xb2\xf0\x9f\x87\xb5. Member of @EdLaborCmte, @NRDems, @VetAffairsDems, @HouseAgDems, @CAPAC & @HispanicCaucus'",1749
b'',396
"b""Campaign account. For U.S. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8Representative Candidate for Mississippi's 2nd congressional district.""",422
"b""United States Congressman for Mississippi's Third District.""",1972
b'Father of three.  Marine veteran and currently in the National Guard. CPA and former small business owner.  Proud to represent MISSISSIPPI values in Congress.',2773
"b'Wife: Jean (35 yrs). Sons: Matt Jr, Brien & Adam. Congressman-elect for the State of Montana. #mtpol #mtal #TeamRosendale'",11424
"b""U.S. Representative, proudly serving North Carolina's 1st Congressional District. Follow my work in Washington and #NC01.""",22571
"b'Congresswoman for #NC02. Proud North Carolinian and strong voice for all in our state. Wife to Steve, dog mom to Wylie, and former #NCGA.'",9492
b'Husband \xe2\x80\xa2 Father \xe2\x80\xa2 Physician \xe2\x80\xa2 Member of Congress (NC3)',2584
"b""I am proud to represent NC's 4th Congressional District, which includes Orange, Granville, Franklin, and Durham and parts of Chatham, Vance, and Wake Counties.""",36586
b'Virginia Foxx is a voice for North Carolina values and a champion of conservative ideas. #NC05 #TeamFoxx',2155
"b'Mom, wife, attorney, community leader, and Representative for #NC06. This is a political account.'",7538
"b""I have the privilege of representing the great people of North Carolina's 7th Congressional District. #NC07""",2863
"b'Christian \xf0\x9f\x99\x8fHusband & Father \xf0\x9f\x91\xaa, NASCAR Fan \xf0\x9f\x8f\x81, Panthers \xf0\x9f\x8f\x88, Congressman\xf0\x9f\x87\xba\xf0\x9f\x87\xb8, NC-O8\xf0\x9f\x93\x8d'",3513
"b'Proud Representative of North Carolina\xe2\x80\x99s 9th congressional district fighting for America, freedom & the America First agenda. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'",13771
b'Check back for campaign trail updates from Congressman McHenry and his campaign team!',1271
"b'Conservative \xe2\x80\xa2 Business Owner \xe2\x80\xa2 Political Activist \xe2\x80\xa2 I love people, food and our country \xe2\x80\xa2 Congressman for NC-11'",258245
"b'Rep. Alma Adams, running for reelection to represent Charlotte & Mecklenburg County. 40 year educator, 30 year public servant, proud mother & grandmother. #NC12'",4698
"b'United States Congressman, North Carolina 13th district. Christian, Husband, Father to two girls and an Eagle Scout, ProShots Gun Range Owner.'",1615
b'Lifelong North Dakotan. Proud husband and dad. Republican. U.S. House of Representatives. Real Conservative. Real results.',2167
"b""Official Campaign Account \xe2\x80\x93 Jeff Fortenberry for Congress.\n\nLet's lead the way together and get things done.""",406
"b""Congressman #NE02. Retired USAF 1\xe2\xad\x90\xef\xb8\x8f: 16 tours, 5 commands, 4 deployments. Angie's \xf0\x9f\x92\x81 Husband 37 yrs, 4 kids, 6 grandkids. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8""",6637
b'Proudly serving the 3rd District of Nebraska in the U.S. House of Representatives',14894
b'Congressman in #NH01 | Life-long Manchester Resident | Visit @RepChrisPappas for official updates',14278
"b""Always fighting for the people of New Hampshire's Second Congressional District.""",6292
"b""Democrat for New Jersey's First Congressional District""",2993
,nan
"b""Congressman for NJ's 3rd District. Former WH National Security Official, Diplomat, Dad to two troublemakers.\n\nWhether you voted for me or not, I work for you.""",75286
,nan
b'Congressman for New Jersey\xe2\x80\x99s 5th District. Fmr @microsoft corporate strat. Fmr @billclinton speechwriter. Proud dad & NJ resident! (campaign account)',6648
b'',3716
"b""Diplomat, father, former Assistant Secretary of State for Democracy, Human Rights and Labor. Congressman representing New Jersey's 7th district.""",43451
"b'Congressman representing NJ-08, including Hudson, Essex, Union and Bergen counties. Fighting for middle class families and a brighter future.'",591
"b""New Jersey's Progressive Fighter representing the Ninth Congressional District #NJ09""",12756
"b""The NRA gave me an F because I want to end gun violence. Father of triplets. Son of Newark. Proudly serving New Jersey's 10th Congressional District.""",27603
b'Former Navy Pilot. Former federal prosecutor. Mom of four. Congresswoman for #NJ11',49073
"b""A True Progressive Democrat Running for Congress in New Jersey's 12th District. https://t.co/Yxsk1bVY9C""",3907
b'Nominee for Secretary of the Interior. Congresswoman for NM01. Former Dem Party Chair. Proud UNM Lobo mom. Pueblo woman. Marathon runner. Gourmet cook. She/her.',258899
"b""U.S. Representative for New Mexico's Second Congressional District""",7250
"b'Congresista #NM03 \xe2\x80\xa2 Proudly born and raised in northern New Mexico \xe2\x80\xa2 Fighting for our communities, our planet and our democracy \xe2\x80\xa2 Ahora es cuando \xe2\x80\xa2 she/her/ella'",5516
"b""Representative of Nevada's First District. Tweeting politics, culture & #OnlyInDistrict1.""",11252
b'Congressman for NV-2.',2269
"b'Congresswoman, #NV03. Education Advocate & Community Leader. Wife and mother of 2 awesome kids. #MaskUpNV'",7908
"b""Personal account for Congressman Steven Horsford of Nevada's Fourth Congressional District | #Nevada Native""",12219
"b'Dad, Husband, Congressman (NY-1), Army Reserve Lieutenant Colonel.'",19164
b'Long Islander. #NY02 Congressman. Former NYS Assemblyman. Delivering real results for Long Island families.',1312
"b'Family man, 2 term Mayor of #GlenCove & 2 term #NassauCounty Executive. Trained as an Attorney & CPA. Congressman #NY03'",5495
b'Campaign account for @RepKathleenRice (NY04) | Former Nassau County DA',6551
b'Father. Husband. Grandfather. Brother. Democrat. Congressman proudly representing NY-5',1468
"b'Wife & Mother, Congresswoman, Attorney.'",38119
"b'Proudly serving/ Orgullosamente sirviendo a Brooklyn, Manhattan, and Queens'",4857
b'Campaign Account. 8th CD in Brooklyn & Queens. Always keep it real \xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe\xe2\x9c\x8a\xf0\x9f\x8f\xbe\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe. #ForThePeople *Retweets\xe2\x89\xa0endorsements*',41022
b'Proudly representing NY-9 (Central + Southern BK) in Congress. Lifelong public servant. Progressive champion.',2625
"b'Member of Congress. Representing New York\xe2\x80\x99s 10th C.D., which includes parts of Manhattan and Brooklyn. Join my campaign @ http://t.co/QWx0TfkswM.'",22235
"b'U.S. Congress member for Brooklyn/ Staten Island, 2017 Republican Nominee for NYC Mayor, daughter of Greek & Cuban immigrants'",58638
"b'Former teacher, consumer champion, #ERA activist, progressive Congresswoman. Mom of 2 amazing women. She/her. #NY12 Donate: https://t.co/HOrNIFDabc'",32634
b'Congressman for #NY13. Follow me in DC at @RepEspaillat or in Spanish at @Sen_A_Espaillat.',12843
"b'US Representative,NY-14 (BX & Queens). In a modern, moral, & wealthy society, no American should be too poor to live. \xf0\x9f\x92\xaf% People-Funded, no lobbyist\xf0\x9f\x92\xb0. She/her.'",12650429
b'Congressman (#NY15). Born & bred in the Bronx. Product of public housing. Fighting for ppl whose struggles were my own. Personal Account.',69386
"b'Congressman for #NY16. Former middle school principal. Causing problems for the status quo. Fighting for jobs and education, not bombs and incarceration.'",332976
"b'Congressman, NY-17. Attorney. Activist. Progressive. He/Him #Westchester #Rockland'",121323
b'Husband & father of 3 awesome kids. Representing NY-18 in Congress. DCCC Chair. This is my political twitter: Join \xe2\xac\x87\xef\xb8\x8f',9515
"b'Schenectady native. Rhinebeck resident. #NY19 Congressman. Leading with accountability & integrity. Listening, engaging & finding common ground.'",29369
"b""Congressman Paul Tonko's campaign twitter feed. Fighting for jobs & an innovation economy in #NY20. Account run by PT & staff.""",2902
b'#NY21 U.S. Congresswoman. New ideas\xf0\x9f\x92\xa1New Generation of Leadership \xf0\x9f\x92\xab Real Results\xf0\x9f\x94\xa8Electing #GOPWomen #EPAC \xf0\x9f\x99\x8b\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Insta\xf0\x9f\x93\xb8@EliseStefanik',330007
b'Member of the 117th and 115th Congress in #NY22. #TakeBacktheHouse #doglover #horselover #MarineMom #USNAMom #EPAC',24762
"b'Proudly representing the Southern Tier, Finger Lakes & Western New York in Congress \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #NY23'",3952
"b""Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.""",27429
b'Congressman representing Monroe County in #NY25. Democrat. Proud grandfather. Baseball enthusiast.',1721
b'Representative of the 26th District of New York: Official Campaign Twitter. RTs \xe2\x89\xa0 endorsements. Website: http://t.co/gRfLDmdH',1101
b'',2608
b'Congressman Representing Southwestern Ohio #OH01',3172
"b'Doctor, Combat surgeon, businessman, Bronze Star recipient Brad Wenstrup is a candidate for Congress in Southwestern Ohio. #OH02'",3738
"b""Representing Ohio's Third Congressional District. Native Ohioan, lifelong Democrat, and proud grandmother. Fighting for the people of Central Ohio.""",7214
"b'Christian, husband to Polly, father of four, grandfather, conservative Ohio congressman fighting for smaller government and more liberty'",1215
"b""Proudly serving the people of Ohio's 5th Congressional District in the U.S. House of Representatives!""",1807
"b'Air Force veteran, husband, father, grandfather and concerned American working to stop Washington from hurting working families. Congressman (OH-6).'",4243
b'Bob Gibbs Campaign Twitter Account.',1429
"b""I serve in Congress, representing Ohio's 8th District. I love this country with a soldier\xe2\x80\x99s passion and will continue to support and defend our Constitution.""",1327
"b'Democratic Congresswoman from Ohio, senior woman in house - worked hard for 30 years bringing real results, fighting for veterans, seniors, working families.'",2843
"b""I represent Ohio's 10th Congressional District, including all of Montgomery & Greene counties & part of Fayette. Check back here for updates on my campaign.""",1532
b'HUD Secretary nominee. Advocate for justice.',23282
b'Representing #OH12 in Congress | It\xe2\x80\x99s not about politics; it\xe2\x80\x99s about getting the job done',7834
"b""Dad. Husband. Rep for Ohio's 13th. Fighting for all working Americans.""",57744
"b'Father, husband, and former Geauga County Prosecutor representing #OH14, NE Ohio, in Congress. Official Campaign Account.'",3207
"b""Husband, Father, Soldier and Candidate for Congress in Ohio's 15th District""",4506
"b'\xe2\x80\x9cThere are no solutions, only trade offs.\xe2\x80\x9d Thomas Sowell'",11918
"b'Christian Businessman, Husband, Father, Grandfather, and US Congressman Oklahoma District 1'",4084
"b'I am a husband, and father to six. I am a conservative, and honored to represent Oklahoma\xe2\x80\x99s 2nd Congressional District. #MullinForCongress'",6041
"b'Husband, Father, & Grandfather. Wheat Farmer & Cattle Rancher. A Product of Common-Sense Oklahoma Values and a Conservative Voice of Reason in Washington.'",1658
"b'Proud to represent #OK04 in the U.S. House of Reps. Ranking Republican of @RulesReps, Vice Ranking of @HouseAppropsGOP. Staff moderated unless signed by me. -TC'",27564
b'Wife | Mother | Congresswoman for Oklahoma\xe2\x80\x99s 5th Congressional District',11064
"b""Representing Oregon's 1st District. Working to strengthen #PublicEducation, support #WorkingFamilies, & #ActOnClimate. Proud mom of two grown kids. She/her.""",34347
b'3rd generation Eastern Oregonian/Rancher. CD2 Congressman-elect. Former #orleg senator & representative. A true & genuine voice for #RuralOregon #orpol #CD2',1979
b'Progressive Democrat proudly representing Oregon\xe2\x80\x99s 3rd Congressional District. He/Him/His \xf0\x9f\x9a\xb2',75812
b'Chair of the House Transportation & Infrastructure Committee. Co-founder of the House Small Brewers Caucus. As independent as Oregon.',3459
b'',533
b'Proudly representing my hometown of #PA01 in the U.S. Congress \xe2\x94\x82 Former @FBI Special Agent & Federal Prosecutor \xe2\x94\x82 CPA | EMT | #WeAre \xf0\x9f\x90\xbe #OneCommunity',2387
"b'Congressman from Philly. Proud Dad to Abby & husband to Jenny. Notre Dame & Harvard alum. Philly sports fan. Supporter of all things PA, esp. Dunder Mifflin.'",57514
b'This account is run by staff. Tweets from Dwight Evans are signed - DE. Paid for and authorized by Dwight Evans for Congress.',4728
"b'Congresswoman serving Pennsylvania\xe2\x80\x99s Fourth District - Montgomery and Berks Counties | Committees: @FSCDems & @HouseJudiciary | ""Courage is in the air""'",67273
b'Advocate. Attorney. Educator. Mom. Wife. Dog Mom. Congresswoman for Pennsylvania\xe2\x80\x99s 5th district.',10418
"b'Air Force Veteran, business leader, educator. Daughter, wife, and mother of 2. Representative for #PA06'",21142
"b'Air Force Veteran, business leader, educator. Daughter, wife, and mother of 2. Representative for #PA06'",21142
"b'Husband of Marion, father of Jack & Matt, 25-yr jury trial lawyer, now working for all the people of Northeastern Pennsylvania.'",2266
b'Congressman in PA-9 | Results-Oriented Businessman | Problem Solver | America First | Conservative | Fmr. PA Secretary of Revenue | Husband | Father',1929
b'Paid for by Patriots for Perry',487
b'Official Campaign Account for U.S. Rep. Lloyd Smucker. Husband & Father - Former Small Business Owner - Conservative',1373
b'Representing the 12th Congressional District of Pennsylvania. Campaign account.',1250
"b'Father, husband, granddad, doctor, advocate, PSU alum. Congressman representing #PA13. Fighting every day for central Pennsylvania. #TeamJoyce'",1528
b'U.S. Representative for PA14. Former Navy JAG & Magisterial District Judge.',2830
b'Official campaign Twitter feed of U.S. Congressman Glenn GT Thompson (PA-15) Get campaign news and GT updates here!',1076
"b'With your support, I can keep fighting to make sure that Washington works for you, and not the other way around.'",2762
"b'Marine, prosecutor, patriot, Catholic, Democrat. U.S. Representative for #PA17.'",147775
"b""U.S. Member of Congress representing PA's 18th District""",22814
b'Congresswoman Puerto Rico (R) @RepJenniffer \xf0\x9f\x87\xb5\xf0\x9f\x87\xb7fmr Speaker of the House. GOP state chair & statehood leader. Women who behave rarely make history. @JGO_2020',105050
b'Congressman for Rhode Island\xe2\x80\x99s 1st District. Antitrust Subcommittee Chairman. #ForThePeople',156327
"b""Proudly representing and fighting for the people of Rhode Island's Second Congressional District. Official campaign account.""",1224
b'A New Voice for GOP. Congresswoman SC01. Single Mom. Bizwoman. Fmr @WaffleHouse Waitress. #Citadel. Author. Conservationist. #LowcountryFirst. Campaign Account.',61789
"b'Official Campaign Account Joe Wilson. Husband, Father, and Grandfather. Republican United States Congressman from South Carolina. #SC02.'",18697
"b'Columnist: @TheAthletic New Orleans \xe2\x80\xa2 Analyst: FOX-8, WVUE-TV \xe2\x80\xa2 Author: Payton & Brees: The Men Who Built the Greatest Offense in NFL History'",42506
"b""Official campaign account for Congressman William Timmons, representing South Carolina's Fourth Congressional District #SC04""",1631
b'Married for 45 wonderful years w/ 4 adult children + 17(!) grandchildren. I represent SC\xe2\x80\x99s 5th District in the U.S. House of Representatives. Personal account.',2773
"b""The official campaign twitter account for Congressman Jim Clyburn, representing South Carolina's Sixth Congressional District.""",16721
"b'Husband, Father, University of South Carolina Grad, and proudly representing the Seventh District of South Carolina.'",1098
b'Serving SD in U.S. House. Husband to Jacquelyn and father to three.',4211
b'Congresswoman for #TN01. #TennesseeTough.',9131
b'Married to Kelly. Father to Isabel. Congressman representing #TN02 Former @KnoxGov Mayor. Former state legislator. Fiscally conservative Republican.',47107
b'Congressman from TN-03',2320
"b""Individual Rights. Small Government. Strong Defense. Representing Tennessee's 4th District in Congress.""",21151
b'Lifelong Tennessean representing #TN05 in Congress. Fighting for a stronger and fairer Middle Tennessee.',1991
b'Farmer. Small business owner. 8th generation Tennessean. Republican Congressman for Tennessee\xe2\x80\x99s 6th District United States House of Representatives.',2531
"b'Husband, Father, Former US Army Special Ops, Flight Surgeon, CEO, Congressman (TN-7). Paid for by Mark Green for Congress.'",9941
b'Congressman representing TN-08. Former United States Attorney for the Western District of Tennessee. Campaign account.',1688
b'Campaign to Re-Elect Congressman Steve Cohen in 2018',1147
"b'Louie Gohmert brings straight talk to Washington, D.C. Please help Louie Gohmert safeguard the US & continue to keep TX safe. *official campaign twitter*'",6340
"b'Dan Crenshaw, Congressman, Lieutenant Commander (Ret), a former Navy SEAL.'",1030261
"b'Decorated Marine Corps Veteran, Businessman, TX-03 Congressman serving Collin County'",9579
b'Conservative (and proud of it!) State Senator in North Texas. Business owner with military background.',5944
"b""Husband, Father, and U.S. Congressman for TX's 5th Congressional District.""",82160
"b'Honored and proud to represent #TX07 in Congress and to bring a little more Houston to Washington, D.C.'",16173
"b'Texas congressman, pro-family, pro-small business conservative. Never moved to DC. Led GOP tax reform in Congress. Keeps fighting for us.'",2796
b'Proud to represent the Ninth Congressional District of Texas in the United States House of Representatives.',1446
b'Official Campaign Twitter for McCaul for Congress. \n\nAll tweets are from the campaign unless signed - MTM \n\ninfo@michaelmccaul.com\nhttps://t.co/X6oavJGfnK',3746
"b'Colonel August Pfluger has dedicated his life to defending the U.S. and as our next Congressman, he\xe2\x80\x99ll defend our traditional Texas values.'",4476
b'Congresswoman proudly serving the 12th District of Texas. Ranking Member of the House Appropriations Committee. #TX12',878
"b'Congressman for #TX13 | Former White House Physician & Retired Navy Rear Admiral | Texan, Veteran, Physician, Leader'",94256
"b'Follow me on @TXRandy14. Native of the Gulf Coast. Married to my Bride Brenda over 42 yrs, 3 children, 8 grandchildren.'",1226
b'',220
"b'Congresswoman for the greatest community in America, on the safe and secure U.S.-Mexico border.'",35252
"b""Proudly Campaigning to Represent the Texas's 17th Congressional District""",1040
b'United States Congress',1420
"b'Building a better West Texas, fighting for the future of America. https://t.co/eqWm15u5Zs | https://t.co/1gbbKZqOzt'",3452
"b'Husband, Father, U.S. Congressman, Proud Texan. Donate:https://t.co/j7jLHPaGKW'",67543
"b'Husband, father, cancer survivor, Congressman from the Great State of Texas. Freedom works. https://t.co/1JZa4Av6WU'",38181
"b'#TX22 Congressman & Fmr. FBC Sheriff | #Veteran US Army Major, ret. | #GOP | Personal acct, see @RepTroyNehls for official releases'",10960
b'',3
"b'Single mother. Christian. Conservative. Congresswoman for Texas 24. American by birth, Texan by the Grace of God.'",17505
b'Conservative Republican candidate for US Congress. #TX25',4143
"b'Congressman, Doctor (OB/GYN), and Proud Texan.'",564
"b'Husband, father, and grateful citizen of the United States. Passionate about helping people. Your Congressman for the 27th District of Texas.'",1785
b'Official campaign account for Congressman Henry Cuellar (TX-28). https://t.co/cFlWPcxwem',1053
"b'Congresswoman, TX-29, Houston Region. Former TX State Senator w/ 25+ yrs in public service. Working for the people. Native Texan. Catholic. One of ten children.'",26055
"b'Mission to Mars\nEBJ 2028 \nUnified in Space!\nUS House Committee on Science, Space, and Tech'",13
"b'Congressman proudly serving the 31st District of Texas, Judge, & Conservative. Committed to bringing more Texas to Washington, and less Washington to Texas.'",6389
"b'Civil rights attorney \xe2\x80\xa2 Former @HUDgov official \xe2\x80\xa2 Former @NFL linebacker \xe2\x80\xa2 Congressman for #TX32, where I was born and raised'",29368
b'Congressman from #TX33 | Serve on @energycommerce | Co-Founder of @BlueCollarDems | Founder of Voting Rights Caucus',6765
b'Campaign account for Congressman Filemon Vela. I am honored to serve the constituents of South Texas. #TX34',2114
"b'U.S. Representative, TX 35th District. Serving neighbors from South San Antonio to North Austin. Onward! #WorksForUs'",3490
"b'U.S. Representative for the 36th Congressional District of Texas. Follows, RTs, mentions are not endorsements.'",1996
b'U.S. House of Representatives',1751
"b""U.S. Congressman proudly serving Utah's 2nd District. Veteran, author, husband, and father. Official Chris Stewart Campaign Account.""",2938
b'U.S. Representative for Utah\xe2\x80\x99s Third Congressional District',7266
"b'Representing #UT04 in Congress,\n\nSuper Bowl XV Champion'",254379
b'Campaign account for Rob Wittman. Proudly serving #VA01. \xc2\xa0#TeamWittman #FirstDistrictFirst',1528
"b'Ret. Navy CDR, Mermaid maker, mom, & all around badass. Reps #VA02 with honor & grit \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xc2\xa0\xf0\x9f\x92\xaa'",37115
b'Official campaign twitter feed for Bobby Scott for Congress. Facebook: https://t.co/afLc2iKbzV.',3431
"b'Honored to serve the people of #VA04 in the U.S. Congress. Father, husband, former State Senator. Alum of @AmericanU & @UVALaw.'",7681
"b'Bob Good, Congressman-elect in VA-05'",2288
"b""Husband of Elizabeth. Father of two daughters. Former Virginia Delegate. Proudly representing the people of Virginia's Sixth District in the U.S. Congress.""",6400
"b""Congresswoman for Virginia's 7th District. Former CIA Officer. Girl Scout leader. #VA07 (My Congressional account is @RepSpanberger)""",66472
b'Campaign account for VA-08 Congressman. (My official House of Representatives Twitter is @RepDonBeyer.)',6756
"b""Official Campaign Account | Proudly serving Virginia's 9th District""",2163
"b'Mom to two boys & two rescue labs. Former state Senator, prosecutor, and advocate for abused children. Congresswoman for #VA10.'",28646
b'Campaign Account for Congressman Gerry Connolly (VA-11)',3345
b'Proudly representing the Virgin Islands of the United States',275486
b'Welcome to the campaign account for Rep. Peter Welch. Peter has been a champion for working Vermonters throughout his distinguished career of public service.',2198
"b""Proudly representing Washington's 1st Congressional District!\nshe/her \n#WA01\n#TeamDelBene""",4359
"b""Born and raised in Northwest WA. Honored to represent WA's 2nd District. This is the campaign account""",3405
"b'An independent voice for Congress, working to control spending, create jobs, and lower the cost of health care.'",4680
"b""Proudly serving Washington's 4th District in the U.S. Congress. Follows, retweets and mentions are not endorsements. Campaign account.""",489
b'Proud to serve Eastern Washington as your Congresswoman. The best is yet to come!',2558
"b""Born in Port Angeles. Lives in Gig Harbor. Father of two. Avid Star Wars fan. \nProud Representative of Washington's beautiful 6th Congressional District.""",2141
"b'Congressmember for WA-07 and lifelong organizer for immigrant, civil, and human rights. Progressive Caucus Chair. Bold, unafraid, and a proud mom. She/her.'",209372
b'Pediatrician. Mom. Congresswoman representing #WA08',10561
"b""Proudly representing Washington's 9th Congressional District. Husband. Dad. UW alum. Avid Mariners & Seahawks fan. Retweets are not endorsements.""",1040
